Title,Author,Cover URL,Number of Ratings,Average Rating,Description,Publication_year,Genres
In His Steps,Charles Monroe Sheldon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1172854677i/223838.jpg,26732,4.17,"This is the inspirational novel that popularized the expression, What Would Jesus Do? Written by a Congregational minister, it tells of four prominent members of a small town who resolve to undertake no action without first considering Christ's example. Originally published in 1897, it continues to speak to modern readers.",1897,"Christian, Fiction, Christian Fiction, Classics, Religion, Christianity, Faith"
To Kill a Mockingbird,Harper Lee,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,6357681,4.26,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",1960,"Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
Valley of the Dolls,Jacqueline Susann,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328281855i/50833.jpg,71197,3.84,"Dolls: red or black; capsules or tablets; washed down with vodka or swallowed straight-for Anne, Neely, and Jennifer, it doesn't matter, as long as the pill bottle is within easy reach. These three women become best friends when they are young and struggling in New York City and then climb to the top of the entertainment industry-only to find that there is no place left to go but down-into the Valley of the Dolls.",1966,"Fiction, Classics, Chick Lit, Romance, Contemporary, Novels, Historical Fiction"
Gone with the Wind,Margaret Mitchell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,1235329,4.31,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",1936,"Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War"
One Hundred Years of Solitude,Gabriel García Márquez,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,1005720,4.12,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",1967,"Fiction, Magical Realism, Literature, Fantasy, Historical Fiction, Novels, Spanish Literature"
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440111652i/56495.jpg,279449,3.97,"This book will help you understand why you are alive and God's amazing plan for you - both the here and now, and for eternity. Rick Warren will guide you through a personal 40 day spiritual journey that will transform your answers to life's most important What on earth am I here for?",2002,"Christian, Nonfiction, Religion, Self Help, Spirituality, Christianity, Faith"
The Thorn Birds,Colleen McCullough,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412.jpg,355090,4.25,"The Thorn Birds is a robust, romantic saga of a singular family, the Clearys. It begins in the early part of the 20th century, when Paddy Cleary moves his wife, Fiona, and their seven children to Drogheda, the vast Australian sheep station owned by his autocratic and childless older sister; and it ends more than half a century later, when the only survivor of the third generation, the brilliant actress Justine O'Neill, sets a course of life and love halfway around the world from her roots.The central figures in this enthralling story are the indomitable Meggie, the only Cleary daughter, and the one man she truly loves, the stunningly handsome and ambitious priest Ralph de Bricassart. Ralph's course moves him a long way indeed, from a remote Outback parish to the halls of the Vatican; and Meggie's except for a brief and miserable marriage elsewhere, is fixed to the Drogheda that is part of her bones - but distance does not dim their feelings though it shapes their lives.Wonderful characters people this book; strong and gentle, Paddy, hiding a private memory; dutiful Fiona, holding back love because it once betrayed her, violent, tormented Frank, and the other hardworking Cleary sons who give the boundless lands of Drogheda the energy and devotion most men save for women; Meggie; Ralph; and Meggie's children, Justine and Dane. And the land itself; stark, relentless in its demands, brilliant in its flowering, prey to gigantic cycles of drought and flood, rich when nature is bountiful, surreal like no other place on earth.Alternate Cover Edition ISBN 0380018179 (ISBN13: 9780380018178)",1977,"Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Drama"
The Revolt of Mamie Stover,William Bradford Huie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1278557195i/2309658.jpg,33,3.76,"This is what happened to Mamie Stover, a six-foot tall girl from Mississippi, with a shock of yellow hair and a determination to get rich and respectable. She won a beauty contest, got tossed out of Hollywood and landed in Honolulu, where with the assistance of a war and the U.S. Army she made her pile -- and an indelible impression on thousands of American fighting men.Here is a vivid, angry novel that exposes the corruption and decadence that produces girls like Mamie Stover.",1959,"Fiction, Classics"
The Girl with the Dragon Tattoo,Stieg Larsson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,3263695,4.17,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.",2005,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary"
The Very Hungry Caterpillar,Eric Carle,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948.jpg,521506,4.33,"THE all-time classic story, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life?One sunny Sunday, the caterpillar was hatched out of a tiny egg. He was very hungry. On Monday, he ate through one apple; on Tuesday, he ate through three plums--and still he was hungry. When full at last, he made a cocoon around himself and went to sleep, to wake up a few weeks later wonderfully transformed into a butterfly!The brilliantly innovative Eric Carle has dramatized the story of one of Nature's commonest yet loveliest marvels, the metamorphosis of the butterfly. This audiobook will delight as well as instruct the very youngest listener.",1969,"Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting"
The Late Great Planet Earth,Hal Lindsey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348728131i/899325.jpg,1426,3.21,"The impact of The Late Great Planet Earth cannot be overstated. The New York Times called it the ""no. 1 non-fiction bestseller of the decade."" For Christians and non-Christians of the 1970s, Hal Lindsey's blockbuster served as a wake-up call on events soon to come and events already unfolding -- all leading up to the greatest event of all: the return of Jesus Christ. The years since have confirmed Lindsey's insights into what biblical prophecy says about the times we live in. Whether you're a church-going believer or someone who wouldn't darken the door of a Christian institution, the Bible has much to tell you about the imminent future of this planet. In the midst of an out-of-control generation, it reveals a grand design that's unfolding exactly according to plan. The rebirth of Israel. The threat of war in the Middle East. An increase in natural catastrophes. The revival of Satanism and witchcraft. These and other signs, foreseen by prophets from Moses to Jesus, portend the coming of an antichrist . . . of a war which will bring humanity to the brink of destruction . . . and of incredible deliverance for a desperate, dying planet.",1970,"Religion, Christian, Nonfiction, Christianity, Theology, Christian Non Fiction, Spirituality"
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388639717i/4894.jpg,484691,3.86,"""Who Moved My Cheese?"" is a simple parable that reveals profound truths. It is an amusing and enlightening story of four characters who live in a ""Maze"" and look for ""Cheese"" to nourish them and make them happy.Two are mice named Sniff and Scurry. And two are ""Littlepeople"" — beings the size of mice who look and act a lot like people. Their names are Hem and Haw.""Cheese"" is a metaphor for what you want to have in life — whether it's a good job, a loving relationship, money, a possession, health, or spiritual peace of mind.And the ""Maze"" is where you look for what you want — the organisation you work in or the family or community you live in.In the story, the characters are faced with unexpected change. Eventually, one of them deals with it successfully, and writes what he has learned from his experience on the Maze walls.When you come to see ""The Handwriting on the Wall,"" you can discover for yourself how to deal with change, so that you can enjoy less stress and more success (however you define it) in your work and in your life.Written for all ages, the story takes less than an hour to read, but its unique insights can last for a lifetime.",1999,"Nonfiction, Self Help, Business, Psychology, Leadership, Personal Development, Management"
The Wind in the Willows,Kenneth Grahame,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630642716i/5659.jpg,226182,4.02,"“All this he saw, for one moment breathless and intense, vivid on the morning sky; and still, as he looked, he lived; and still, as he lived, he wondered.”For more than a century,The Wind in the Willowsand its endearing protagonists—Mole, Water Rat, Badger, and, of course, the incorrigible Toad—have enchanted children of all ages. Whether the four friends are setting forth on an exciting adventure, engaging in a comic caper, or simply relaxing by the River Thames, their stories will surprise and captivate you.Hailed as one of the most enduringly popular works of the twentieth century, this story is a classic of magical fancy and enchanting wit. Penned in lyrical prose, the adventures and misadventures of the book’s intrepid quartet of heroes raise fantasy to the level of myth. Reflecting the freshness of childhood wonder, it still offers adults endless sophistication, substance, and depth.The animals’ world embodies the author’s wry, whimsical, and unfailingly inventive imagination. It is a world that succeeding generations of both adult and young readers have found irresistible. But why say more? To use the words of the estimable Mr. Toad himself:“Travel, change, interest, excitement!...Come inside.”",1908,"Classics, Fiction, Childrens, Fantasy, Animals, Young Adult, Middle Grade"
1984,George Orwell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348990566i/5470.jpg,4832352,4.19,"The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. 1984 is still the great modern classic of ""negative utopia""—a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time.",1949,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421842784i/36072.jpg,765217,4.16,7 zakonet e njerëzve të suksesshëm,1989,"Self Help, Nonfiction, Business, Personal Development, Psychology, Leadership, Productivity"
The Celestine Prophecy,James Redfield,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1166542346i/13103.jpg,116633,3.72,"You have never read a book like this before...The Celestine Prophecy contains secrets that are currently changing our world. Drawing on the ancient wisdom found in a Peruvian manuscript, it tells you how to make connections between the events happening in your own life right now...and lets you see what is going to happen to you in the years to come.The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystalize your perceptions of why you are where you are in life...and to direct your steps with a new energy and optimism as you head into tomorrow.A book that comes along just once in a lifetime to change lives forever.",1993,"Fiction, Spirituality, Philosophy, Self Help, Fantasy, New Age, Religion"
The Hunger Games,Suzanne Collins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,9004062,4.34,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",2008,"Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
The Godfather,Mario Puzo,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034.jpg,433781,4.39,"The Godfather—the epic tale of crime and betrayal that became a global phenomenon.Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and the allegiance to family—these are the themes that have resonated with millions of readers around the world and made The Godfather the definitive novel of the violent subculture that, steeped in intrigue and controversy, remains indelibly etched in our collective consciousness.",1969,"Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels"
Love Story,Erich Segal,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388812297i/73968.jpg,62058,3.65,"Oliver Barrett IV, a wealthy jock from a stuffy WASP family on his way to a Harvard degree and a career in law . . . Jenny Cavilleri, a sharp-tongued, working-class beauty studying music at Radcliffe . . .Opposites in nearly every way, Oliver and Jenny are kindred spirits from vastly different worlds. Falling deeply and powerfully, their attraction to one another defies everything they have ever believed—as they share a passion far greater than anything they dreamed possible . . . and explore the wonder of a love that must end too soon.One of the most adored novels of our time, this is the book that defined a generation—a story of uncompromising devotion, of life as it really is . . . and love that changes everything.",1969,"Romance, Fiction, Classics, Contemporary, Chick Lit, Love, Novels"
Wolf Totem,Jiang Rong,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438826486i/1217728.jpg,4766,4.08,"An epic Chinese tale in the vein ofThe Last Emperor, Wolf Totem depicts the dying culture of the Mongols-the ancestors of the Mongol hordes who at one time terrorized the world-and the parallel extinction of the animal they believe to be sacred: the fierce and otherworldly Mongolian wolfPublished under a pen name,Wolf Totemwas a phenomenon in China, breaking all sales records there and earning the distinction of being the second most read book after Mao's little red book. There has been much international excitement too-to date, rights have been sold in thirteen countries. Wolf Totem is set in 1960s China-the time of the Great Leap Forward, on the eve of the Cultural Revolution.Searching for spirituality, Beijing intellectual Chen Zhen travels to the pristine grasslands of Inner Mongolia to live among the nomadic Mongols-a proud, brave, and ancient race of people who coexist in perfect harmony with their unspeakably beautiful but cruel natural surroundings. Their philosophy of maintaining a balance with nature is the ground stone of their religion, a kind of cult of the wolf.The fierce wolves that haunt the steppes of the unforgiving grassland searching for food are locked with the nomads in a profoundly spiritual battle for survival-a life-and-death dance that has gone on between them for thousands of years. The Mongols believe that the wolf is a great and worthy foe that they are divinely instructed to contend with, but also to worship and to learn from. Chen's own encounters with the otherworldly wolves awake a latent primitive instinct in him, and his fascination with them blossoms into obsession, then reverence.After many years, the peace is shattered with the arrival of Chen's kinfolk, Han Chinese, sent from the cities to bring modernity to the grasslands. They immediately launch a campaign to exterminate the wolves, sending the balance that has been maintained with religious dedication for thousands of years into a spiral leading to extinction-first the wolves, then the Mongol culture, finally the land. As a result of the eradication of the wolves, rats become a plague and wild sheep graze until the meadows turn to dust. Mongolian dust storms glide over Beijing, sometimes blocking out the moon.Part period epic, part fable for modern days,Wolf Totemis a stinging social commentary on the dangers of China's overaccelerated economic growth as well as a fascinating immersion into the heart of Chinese culture.",2004,"Fiction, China, Historical Fiction, Asia, Chinese Literature, Novels, Asian Literature"
The Happy Hooker: My Own Story,Xaviera Hollander,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348120776i/325930.jpg,2880,3.37,"How didyoufirst learn about sex? If you grew up in the 1970s, it may have been from a gleefully lusty tour guide named Xaviera HollanderIn the late 1960s -- that era of sexual chaos, when Playboy Clubs and love-ins were competing for national attention -- a beautiful, intelligent young Dutch secretary named Xaviera de Vries moved to New York, grew swiftly tired of her desk job . . . and soon became the most visible and glamorous madam the city had ever seen. As Xaviera Hollander, she published a shockingly candid account of her life behind the brothel door.The Happy Hookershot straight to the top of the bestseller lists, sold more than fifteen million copies, and made this enterprising young woman an international phenomenon.Thirty years later, these delightfully explicit tales of the '60s and '70s swingers' scene -- including countless jaw-dropping stories of lesbianism, bondage, fetishism, and more -- remain as titillating as ever, charged with the mix of shrewd observation and uninhibited appetite that made Hollander an irresistible storyteller.The Happy Hookeris a classic: the world's greatest book on the world's oldest profession.",1972,"Nonfiction, Biography, Memoir, Erotica, Autobiography, Biography Memoir, Sexuality"
Jaws,Peter Benchley,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654812454i/126232.jpg,167924,3.95,"The classic, blockbuster thriller of man-eating terror that inspired the Steven Spielberg movie and made millions of beachgoers afraid to go into the water. Experience the thrill of helpless horror again—or for the first time!",1974,"Horror, Fiction, Thriller, Classics, Adventure, Audiobook, Suspense"
Love You Forever,Robert Munsch,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348832754i/310259.jpg,240787,4.37,"An extraordinarily different story by Robert Munsch is a gentle affirmation of the love a parent feels for their child—forever.""A young woman holds her newborn son and looks at him lovingly. Softly she sings to him: ""I'll love you forever. I'll like you for always. As long as I'm living, my baby you'll be.""So begins the story that has touched the hearts of millions worldwide. Since publication in l986,""Love You Forever""has sold more than 15 million copies in paperback and the regular hardcover edition (as well as hundreds of thousands of translated copies around the world).Sheila McGraw'ssoft and colorful pastels perfectly complement the sentiment of the book—one that will be read repeatedly for years.",1986,"Picture Books, Childrens, Fiction, Classics, Family, Love, Realistic Fiction"
The Women's Room,Marilyn French,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494520646i/46456.jpg,9059,3.99,"The bestselling feminist novel that awakened both women and men,The Women's Roomfollows the transformation of Mira Ward and her circle as the women's movement begins to have an impact on their lives. A biting social commentary on an emotional world gone silently haywire,The Women's Roomis a modern classic that offers piercing insight into the social norms accepted so blindly and revered so completely. Marilyn French questions those accepted norms and poignantly portrays the hopeful believers looking for new truths.",1977,"Fiction, Feminism, Classics, Womens, Novels, Contemporary, Literature"
What to Expect When You're Expecting,Heidi Murkoff,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298458822i/174703.jpg,58113,3.81,"Incorporating everything that's new in pregnancy, childbirth, and the lifestyles of parents-to-be, complete with a preconception plan, information on choosing a practitioner, birthing alternatives, second pregnancies, twins, making love while pregnant, and coping with common and not so common pregnancy symptoms.",1969,"Parenting, Nonfiction, Self Help, Health, Reference, Family, Adult"
The Adventures of Huckleberry Finn,Mark Twain,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,1285441,3.83,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.",1884,"Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School"
"The Secret Diary of Adrian Mole, Aged 13 3/4",Sue Townsend,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1285269220i/51070.jpg,50026,3.88,"Adrian Mole's first love, Pandora, has left him; a neighbor, Mr. Lucas, appears to be seducing his mother (and what does that mean for his father?); the BBC refuses to publish his poetry; and his dog swallowed the tree off the Christmas cake. ""Why"" indeed.",1982,"Fiction, Young Adult, Humor, Comedy, Childrens, British Literature, Contemporary"
Kon-Tiki,Thor Heyerdahl,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348547584i/790171.jpg,23824,4.16,"Kon-Tikiis the record of an astonishing adventure - a journey of 4,300 nautical miles across the Pacific Ocean by raft. Intrigued by Polynesian folklore, biologist Thor Heyerdahl suspected that the South Sea Islands had been settled by an ancient race from thousands of miles to the east, led by a mythical hero, Kon-Tiki. He decided to prove his theory by duplicating the legendary voyage.On April 28, 1947, Heyerdahl and five other adventurers sailed from Peru on a balsa log raft. After three months on the open sea, encountering raging storms, whales, and sharks, they sighted land - the Polynesian island of Puka Puka.Translated into over sixty languages,Kon-Tikiis a classic, inspiring tale of daring and courage - a magnificent saga of men against the sea.",1948,"Nonfiction, Travel, Adventure, History, Classics, Biography, Memoir"
Where the Wild Things Are,Maurice Sendak,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,1021007,4.25,"Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.",1963,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult"
The Secret,Rhonda Byrne,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659289885i/52529.jpg,495179,3.73,"Alternate cover edition ofISBN 9781582701707.The worldwide bestselling phenomenon that has helped millions tap the power of the law that governs all our lives to create—intentionally and effortlessly—a joyful life.In 2006, a groundbreaking feature-length film revealed the great mystery of the universe—The Secret—and, later that year, Rhonda Byrne followed with a book that became a worldwide bestseller.Fragments of a Great Secret have been found in the oral traditions, in literature, in religions, and philosophies throughout the centuries. For the first time, all the pieces of The Secret come together in an incredible revelation that will be life-transforming for all who experience it.In this book, you’ll learn how to use The Secret in every aspect of your life—money, health, relationships, happiness, and in every interaction you have in the world. You’ll begin to understand the hidden, untapped power that’s within you, and this revelation can bring joy to every aspect of your life.The Secretcontains wisdom from modern-day teachers—men and women who have used it to achieve health, wealth, and happiness. By applying the knowledge of The Secret, they bring to light compelling stories of eradicating disease, acquiring massive wealth, overcoming obstacles, and achieving what many would regard as impossible.",2006,"Self Help, Nonfiction, Spirituality, Psychology, Personal Development, Philosophy, Inspirational"
Fear of Flying,Erica Jong,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388190180i/9654.jpg,22349,3.47,"The groundbreaking #1New York TimesBestseller—updated for the 50th Anniversary with a New Foreword by Molly Jong-Fast and a New Introduction by Taffy Brodesser-Akner!“The boundary-breaking novel that redefined sexuality.”—O MagazineIsadora Wing is tired. Tired of being psychoanalyzed. Tired of grad school. Tired of fighting with her husband. Tired of having unfulfilled desires. She thinks she knows what she's searching for and how to achieve it. But her quest to engage in no-strings-attached sex quickly shifts into a journey of self-discovery that will leave her questioning her own mind, her ideals, and what she truly wants in life....Originally published in 1973, the ground-breaking, uninhibited story of Isadora Wing and her desire to fly free caused a national sensation. It fueled fantasies, ignited debates, and introduced a notorious new phrase to the English language. Now, after fifty years, this revolutionary novel still stands as a timeless tale of self-discovery, liberation, and womanhood.“Smart, bold, bracing and, importantly, extremely funny.”—Meg Wolitzer",1973,"Fiction, Feminism, Classics, Erotica, Novels, Romance, Literature"
The Shack,William Paul Young,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344270232i/1812457.jpg,662852,3.83,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.In a world where religion seems to grow increasingly irrelevantThe Shackwrestles with the timeless question, ""Where is God in a world so filled with unspeakable pain?"" The answers Mack gets will astound you and perhaps transform you as much as it did him. You'll want everyone you know to read this book!",2007,"Fiction, Christian, Christian Fiction, Spirituality, Faith, Religion, Inspirational"
Goodnight Moon,Margaret Wise Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg,380671,4.31,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one -- the little bunny says goodnight.In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",1947,"Childrens, Picture Books, Classics, Fiction, Poetry, Kids, Animals"
The Neverending Story,Michael Ende,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712.jpg,207522,4.18,"This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself.The story begins with a lonely boy named Bastian and the strange book that draws him into the beautiful but doomed world of Fantastica. Only a human can save this enchanted place by giving its ruler, the Childlike Empress, a new name. But the journey to her tower leads through lands of dragons, giants, monsters, and magic, and once Bastian begins his quest, he may never return. As he is drawn deeper into Fantastica, he must find the courage to face unspeakable foes and the mysteries of his own heart.Readers, too, can travel to the wondrous, unforgettable world of Fantastica if they will just turn the page...",1979,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature"
Guess How Much I Love You,Sam McBratney,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320457007i/301736.jpg,143674,4.39,"""Guess how much I love you,"" says Little Nutbrown Hare. Little Nutbrown Hare shows his daddy how much he loves him: as wide as he can reach and as far as he can hop. But Big Nutbrown Hare, who can reach farther and hop higher, loves him back just as much. Well then Little Nutbrown Hare loves him right up to the moon, but that's just halfway to Big Nutbrown Hare's love for him.",1988,"Picture Books, Childrens, Fiction, Animals, Classics, Family, Love"
Shōgun,James Clavell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397228842i/402093.jpg,193253,4.41,"After Englishman John Blackthorne is lost at sea, he awakens in a place few Europeans know of and even fewer have seen--Nippon. Thrust into the closed society that is seventeenth-century Japan, a land where the line between life and death is razor-thin, Blackthorne must negotiate not only a foreign people, with unknown customs and language, but also his own definitions of morality, truth, and freedom. As internal political strife and a clash of cultures lead to seemingly inevitable conflict, Blackthorne's loyalty and strength of character are tested by both passion and loss, and he is torn between two worlds that will each be forever changed.Powerful and engrossing, capturing both the rich pageantry and stark realities of life in feudal Japan, Shōgun is a critically acclaimed powerhouse of a book. Heart-stopping, edge-of-your-seat action melds seamlessly with intricate historical detail and raw human emotion. Endlessly compelling, this sweeping saga captivated the world to become not only one of the best-selling novels of all time but also one of the highest-rated television miniseries, as well as inspiring a nationwide surge of interest in the culture of Japan. Shakespearean in both scope and depth, Shōgun is, as the New York Times put it, ""...not only something you read--you live it."" Provocative, absorbing, and endlessly fascinating, there is only one: Shōgun.",1975,"Historical Fiction, Fiction, Japan, Historical, Classics, Adventure, Audiobook"
The Poky Little Puppy,Janette Sebring Lowrey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320424154i/505304.jpg,82230,4.13,"In this cherished childhood classic, a puppy who is always late coming home one night finds there is no dessert for him.One of the original 12Little Golden Books, The Poky Little Puppyhas sold nearly 15 million copies since 1942, making it one of the most popular children’s books of all time. Now this curious little puppy is ready to win the hearts and minds of a new generation of kids.",1942,"Childrens, Picture Books, Fiction, Classics, Animals, Dogs, Kids"
